Wavelength (nm),GaAs_n,GaAs_k
6.97E+02,3.8512,1.95E-01
7.02E+02,3.8441,1.89E-01
7.08E+02,3.8368,1.86E-01
7.15E+02,3.8308,1.83E-01
7.21E+02,3.8242,1.80E-01
7.27E+02,3.8188,1.78E-01
7.34E+02,3.8134,1.76E-01
7.40E+02,3.807,1.69E-01
7.47E+02,3.8014,1.69E-01
7.54E+02,3.7965,1.65E-01
7.61E+02,3.7917,1.58E-01
7.68E+02,3.7854,1.53E-01
7.75E+02,3.7773,1.47E-01
7.82E+02,3.7697,1.43E-01
7.90E+02,3.761,1.40E-01
7.97E+02,3.7528,1.38E-01
8.05E+02,3.745,1.32E-01
8.13E+02,3.7382,1.32E-01
8.21E+02,3.7295,1.36E-01
8.29E+02,3.7229,1.38E-01
8.38E+02,3.7185,1.39E-01
8.46E+02,3.7122,1.39E-01
8.55E+02,3.7073,1.35E-01
8.64E+02,3.7018,1.33E-01
8.73E+02,3.698,1.32E-01
8.82E+02,3.6951,1.27E-01
8.92E+02,3.6921,1.15E-01
9.02E+02,3.6882,1.09E-01
9.12E+02,3.6832,1.06E-01
9.22E+02,3.6833,9.90E-02
9.32E+02,3.6843,9.15E-02
9.43E+02,3.6843,8.75E-02
9.54E+02,3.6807,8.69E-02
9.65E+02,3.6772,8.64E-02
9.76E+02,3.6736,8.59E-02
9.88E+02,3.6701,8.54E-02
1.00E+03,3.6666,8.50E-02
