2.447678295839726959e-01 2.499978652118650946e-01 2.552288127991120814e-01 2.604602845976548564e-01 2.657033290217405974e-01 2.709576028155142868e-01 2.762130838736407412e-01 2.814673507138221176e-01 2.867230706619989800e-01 2.919785214437030652e-01
2.510656733633347959e-01 2.563009937537648053e-01 2.615372280035046515e-01 2.667739883644954513e-01 2.720102233013812487e-01 2.772472438154300334e-01 2.824982519747297194e-01 2.877588552860799176e-01 2.930198577168481866e-01 2.982805928810988161e-01
2.573388967365831115e-01 2.625775633958208899e-01 2.678171435910509102e-01 2.730572495742147887e-01 2.782961607760504608e-01 2.835358573481260303e-01 2.887761835638302244e-01 2.940280627099802202e-01 2.992924117975369058e-01 3.045564932952586901e-01
2.636206498220430294e-01 2.688626540424184919e-01 2.741055714597117055e-01 2.793490143258640646e-01 2.845905947899567967e-01 2.898329604072816257e-01 2.950766226243802803e-01 3.003189246505411081e-01 3.055734973300802682e-01 3.108409164567547678e-01
2.699112852435259780e-01 2.751566179030673354e-01 2.804028634039803514e-01 2.856496339982063648e-01 2.908938763887647383e-01 2.961393685055802028e-01 3.013858927257582199e-01 3.066308559388488120e-01 3.118753436958742187e-01 3.171342146580141130e-01
2.762114985136339129e-01 2.814598553824074756e-01 2.867094193900747157e-01 2.919595081182638774e-01 2.972064047475834192e-01 3.024552143273384064e-01 3.077043922494584471e-01 3.129520089259049676e-01 3.181984866238750098e-01 3.234458550232079954e-01
2.825217974452217673e-01 2.877734628137851303e-01 2.930256738461098909e-01 2.982790706517897128e-01 3.035286134616834164e-01 3.087807304153830090e-01 3.140325539552404899e-01 3.192828159992746051e-01 3.245318505382899232e-01 3.297812908879335647e-01
2.888353622586337655e-01 2.940922981235676303e-01 2.993487269017245933e-01 3.046073975756140584e-01 3.098609644292964482e-01 3.151163781805746411e-01 3.203708388634419757e-01 3.256237377882167938e-01 3.308754089457033865e-01 3.361268265870864247e-01
2.951070849482412828e-01 3.003673694391572058e-01 3.056267071875741204e-01 3.108884956139132960e-01 3.161454727682380672e-01 3.214056787497794887e-01 3.266644031825429173e-01 3.319215671141539370e-01 3.371775045354169498e-01 3.424321226994992418e-01
3.013871137948564982e-01 3.066507383347290006e-01 3.119134157975771426e-01 3.171778757546030447e-01 3.224381920212136543e-01 3.277010690517254132e-01 3.329624643193632161e-01 3.382222988717523693e-01 3.434809066996972748e-01 3.487375275282904585e-01
