313.012	0.050
314.577	4.189
318.580	23.775
324.428	30.448
330.795	40.695
337.688	53.546
341.311	45.275
356.910	51.833
372.894	67.990
378.735	79.053
386.435	85.655
397.757	88.014
419.976	92.867
435.814	95.030
465.872	95.048
493.865	96.098
517.409	96.575
563.305	97.405
635.049	97.961
663.775	97.865
725.662	97.997
789.108	98.006
845.667	98.218
864.855	97.936
896.611	97.936
918.377	97.583
934.814	96.620
955.987	96.267
965.911	95.640
977.087	95.295
998.260	94.536
1014.631	93.282
1029.144	92.390
1034.472	90.775
1050.317	88.816
1057.496	85.955
1068.079	83.007
1079.262	79.864
1087.927	76.369
1099.769	71.427
1107.681	66.607
1119.097	59.156
1127.909	50.816
1139.677	40.543
1146.784	30.445
1157.374	21.214
1170.614	15.318
1180.538	7.047
1192.307	3.869
1197.495	2.270
