408.922	0.964
417.985	0.961
429.794	0.963
439.762	0.963
450.239	0.963
459.393	0.960
470.610	0.957
479.173	0.957
489.732	0.957
500.957	0.957
509.438	0.957
518.000	0.957
527.655	0.957
536.883	0.957
548.340	0.956
556.902	0.956
569.294	0.956
578.448	0.953
588.999	0.953
600.067	0.948
609.296	0.943
618.359	0.943
630.085	0.943
639.979	0.940
650.965	0.937
660.111	0.932
673.168	0.927
683.645	0.923
693.457	0.924
700.770	0.917
710.051	0.912
722.525	0.906
732.052	0.897
739.284	0.892
749.761	0.884
758.989	0.884
768.808	0.874
777.789	0.866
789.014	0.855
800.157	0.848
808.054	0.837
817.866	0.824
829.674	0.812
838.820	0.800
848.130	0.789
859.856	0.772
871.740	0.756
880.235	0.732
892.866	0.711
898.848	0.693
911.479	0.672
921.291	0.645
932.434	0.625
940.495	0.589
952.303	0.562
959.453	0.532
968.015	0.500
978.657	0.469
988.625	0.436
998.437	0.404
1009.744	0.365
1021.545	0.329
1028.784	0.298
1039.583	0.268
1049.551	0.229
1062.691	0.210
1070.588	0.178
1080.482	0.157
1091.699	0.139
1109.729	0.124
1119.548	0.122
1130.766	0.115
1141.325	0.104
1151.054	0.104
1177.408	0.105
1189.456	0.105
1201.264	0.105
1207.830	0.095
1226.952	0.093
1243.412	0.096
1270.670	0.091
1281.813	0.089
1291.707	0.083
1303.597	0.083
1317.477	0.083
1334.685	0.076
1347.151	0.076
1360.956	0.079
1374.596	0.079
