Wavelength (nm),Si100_2_n,Si100_2_k
5.78E+02,3.988476,2.29E-02
5.80E+02,3.982928,2.26E-02
5.82E+02,3.977722,2.22E-02
5.84E+02,3.972751,2.18E-02
5.86E+02,3.96801,2.18E-02
5.88E+02,3.963423,2.19E-02
5.90E+02,3.95888,2.18E-02
5.92E+02,3.95428,2.14E-02
5.94E+02,3.94968,2.08E-02
5.96E+02,3.945071,2.02E-02
5.98E+02,3.940468,1.96E-02
6.00E+02,3.935887,1.93E-02
6.02E+02,3.931345,1.91E-02
6.04E+02,3.926842,1.91E-02
6.06E+02,3.922394,1.91E-02
6.08E+02,3.917994,1.91E-02
6.10E+02,3.913623,1.89E-02
6.12E+02,3.909267,1.85E-02
6.14E+02,3.904972,1.80E-02
6.16E+02,3.900745,1.77E-02
6.18E+02,3.896644,1.74E-02
6.20E+02,3.892764,1.71E-02
6.22E+02,3.889205,1.69E-02
6.24E+02,3.885801,1.66E-02
6.26E+02,3.882427,1.62E-02
6.28E+02,3.8791,1.59E-02
6.30E+02,3.875904,1.57E-02
6.32E+02,3.872926,1.57E-02
6.34E+02,3.869798,1.58E-02
6.36E+02,3.866002,1.56E-02
6.38E+02,3.861829,1.53E-02
6.40E+02,3.85774,1.51E-02
6.42E+02,3.854083,1.50E-02
6.44E+02,3.850673,1.49E-02
6.46E+02,3.847639,1.47E-02
6.48E+02,3.844795,1.44E-02
6.50E+02,3.841835,1.42E-02
6.52E+02,3.838462,1.40E-02
6.54E+02,3.835151,1.39E-02
6.56E+02,3.832441,1.38E-02
6.58E+02,3.829991,1.37E-02
6.60E+02,3.827192,1.35E-02
6.62E+02,3.823494,1.32E-02
6.64E+02,3.819831,1.29E-02
6.66E+02,3.817198,1.28E-02
6.68E+02,3.815062,1.29E-02
6.70E+02,3.812486,1.28E-02
6.72E+02,3.808671,1.24E-02
6.74E+02,3.804801,1.20E-02
6.76E+02,3.801831,1.21E-02
6.78E+02,3.799471,1.25E-02
6.80E+02,3.797202,1.26E-02
6.82E+02,3.794689,1.22E-02
6.84E+02,3.792159,1.17E-02
6.86E+02,3.789671,1.16E-02
6.88E+02,3.787198,1.16E-02
6.90E+02,3.784695,1.15E-02
6.92E+02,3.782136,1.08E-02
6.94E+02,3.779506,1.02E-02
6.96E+02,3.776661,1.02E-02
6.98E+02,3.773779,1.06E-02
7.00E+02,3.771168,1.09E-02
7.02E+02,3.76913,1.10E-02
7.04E+02,3.767129,1.10E-02
7.06E+02,3.764552,1.08E-02
7.08E+02,3.761756,1.05E-02
7.10E+02,3.759381,1.01E-02
7.12E+02,3.75799,9.75E-03
7.14E+02,3.756651,9.46E-03
7.16E+02,3.754559,9.43E-03
7.18E+02,3.751962,9.57E-03
7.20E+02,3.749305,9.69E-03
7.22E+02,3.74687,9.64E-03
7.24E+02,3.744499,9.66E-03
7.26E+02,3.74205,1.02E-02
7.28E+02,3.739747,1.08E-02
7.30E+02,3.73801,1.08E-02
7.32E+02,3.737282,9.71E-03
7.34E+02,3.736578,8.50E-03
7.36E+02,3.734933,8.22E-03
7.38E+02,3.732651,8.52E-03
7.40E+02,3.730274,8.79E-03
7.42E+02,3.728162,8.63E-03
7.44E+02,3.726043,8.32E-03
7.46E+02,3.723621,7.77E-03
7.48E+02,3.721251,7.20E-03
7.50E+02,3.719589,6.95E-03
7.52E+02,3.71931,7.34E-03
7.54E+02,3.718999,7.85E-03
7.56E+02,3.717312,8.14E-03
7.58E+02,3.71466,8.19E-03
