# Refractive index of TiO2
# Source: https://www2.pvlighthouse.com.au/resources/photovoltaic%20materials/refractive%20index/refractive%20index.aspx
# Details: TiCl4 & H2O precursors
# Reference: Cite this reference when publishing results that incorporate the data below.
# [Cui16] J. Cui, T. Allen, Y. Wan, J. McKeon, C. Samundsett,
# D. Yan, X. Zhang, Y. Cui, Y. Chen, e. al., et al.,'Titanium oxide:
# A re-emerging optical and passivating material for silicon solar cells',
# Solar Energy Materials & Solar Cells 158, pp. 115–121, 2016.
# wl,n,k,alpha
696.7,2.262,0,0
698.3,2.261,0,0
699.8,2.261,0,0
701.4,2.26,0,0
703,2.26,0,0
704.6,2.259,0,0
706.2,2.259,0,0
707.7,2.259,0,0
709.3,2.258,0,0
710.9,2.258,0,0
712.5,2.257,0,0
714.1,2.257,0,0
715.6,2.256,0,0
717.2,2.256,0,0
718.8,2.256,0,0
720.4,2.255,0,0
722,2.255,0,0
723.5,2.254,0,0
725.1,2.254,0,0
726.7,2.254,0,0
728.3,2.253,0,0
729.9,2.253,0,0
731.4,2.253,0,0
733,2.252,0,0
734.6,2.252,0,0
736.2,2.251,0,0
737.8,2.251,0,0
739.3,2.251,0,0
740.9,2.25,0,0
742.5,2.25,0,0
744.1,2.25,0,0
745.6,2.249,0,0
747.2,2.249,0,0
748.8,2.249,0,0
750.4,2.248,0,0
752,2.248,0,0
753.5,2.248,0,0
755.1,2.247,0,0
756.7,2.247,0,0
758.3,2.247,0,0
759.8,2.246,0,0
761.4,2.246,0,0
763,2.246,0,0
764.6,2.245,0,0
766.1,2.245,0,0
767.7,2.245,0,0
769.3,2.244,0,0
770.9,2.244,0,0
772.5,2.244,0,0
774,2.243,0,0
775.6,2.243,0,0
777.2,2.243,0,0
778.8,2.242,0,0
780.3,2.242,0,0
781.9,2.242,0,0
783.5,2.241,0,0
785.1,2.241,0,0
786.6,2.241,0,0
788.2,2.241,0,0
789.8,2.24,0,0
791.4,2.24,0,0
792.9,2.24,0,0
794.5,2.239,0,0
796.1,2.239,0,0
797.6,2.239,0,0
799.2,2.239,0,0
800.8,2.238,0,0
802.4,2.238,0,0
803.9,2.238,0,0
805.5,2.238,0,0
807.1,2.237,0,0
808.7,2.237,0,0
810.2,2.237,0,0
811.8,2.236,0,0
813.4,2.236,0,0
815,2.236,0,0
816.5,2.236,0,0
818.1,2.235,0,0
819.7,2.235,0,0
821.2,2.235,0,0
822.8,2.235,0,0
824.4,2.234,0,0
826,2.234,0,0
827.5,2.234,0,0
829.1,2.234,0,0
830.7,2.233,0,0
832.2,2.233,0,0
833.8,2.233,0,0
835.4,2.233,0,0
837,2.232,0,0
838.5,2.232,0,0
840.1,2.232,0,0
841.7,2.232,0,0
843.2,2.232,0,0
844.8,2.231,0,0
846.4,2.231,0,0
847.9,2.231,0,0
849.5,2.231,0,0
851.1,2.23,0,0
852.6,2.23,0,0
854.2,2.23,0,0
855.8,2.23,0,0
857.4,2.23,0,0
858.9,2.229,0,0
860.5,2.229,0,0
862.1,2.229,0,0
863.6,2.229,0,0
865.2,2.228,0,0
866.8,2.228,0,0
868.3,2.228,0,0
869.9,2.228,0,0
871.5,2.228,0,0
873,2.227,0,0
874.6,2.227,0,0
876.2,2.227,0,0
877.7,2.227,0,0
879.3,2.227,0,0
880.9,2.226,0,0
882.4,2.226,0,0
884,2.226,0,0
885.6,2.226,0,0
887.1,2.226,0,0
888.7,2.225,0,0
890.3,2.225,0,0
891.8,2.225,0,0
893.4,2.225,0,0
894.9,2.225,0,0
896.5,2.224,0,0
898.1,2.224,0,0
899.6,2.224,0,0
